"ID","Quality"
5464,"6"
5465,"6"
5466,"5"
5467,"6"
5468,"5"
5469,"6"
5470,"7"
5471,"6"
5472,"6"
5473,"6"
5474,"6"
5475,"7"
5476,"5"
5477,"6"
5478,"5"
5479,"6"
5480,"6"
5481,"6"
5482,"5"
5483,"6"
5484,"6"
5485,"5"
5486,"5"
5487,"5"
5488,"5"
5489,"6"
5490,"6"
5491,"6"
5492,"6"
5493,"6"
5494,"7"
5495,"6"
5496,"6"
5497,"6"
5498,"5"
5499,"7"
5500,"5"
5501,"6"
5502,"6"
5503,"6"
5504,"6"
5505,"5"
5506,"6"
5507,"6"
5508,"6"
5509,"6"
5510,"6"
5511,"7"
5512,"5"
5513,"6"
5514,"6"
5515,"6"
5516,"6"
5517,"6"
5518,"6"
5519,"5"
5520,"6"
5521,"6"
5522,"5"
5523,"6"
5524,"5"
5525,"5"
5526,"6"
5527,"6"
5528,"6"
5529,"6"
5530,"6"
5531,"5"
5532,"7"
5533,"5"
5534,"6"
5535,"6"
5536,"5"
5537,"5"
5538,"6"
5539,"6"
5540,"6"
5541,"6"
5542,"7"
5543,"5"
5544,"6"
5545,"6"
5546,"6"
5547,"5"
5548,"6"
5549,"5"
5550,"6"
5551,"6"
5552,"6"
5553,"6"
5554,"6"
5555,"5"
5556,"5"
5557,"5"
5558,"6"
5559,"6"
5560,"7"
5561,"5"
5562,"5"
5563,"5"
5564,"6"
5565,"5"
5566,"5"
5567,"7"
5568,"5"
5569,"6"
5570,"6"
5571,"6"
5572,"6"
5573,"6"
5574,"6"
5575,"6"
5576,"6"
5577,"5"
5578,"6"
5579,"6"
5580,"6"
5581,"6"
5582,"5"
5583,"6"
5584,"6"
5585,"5"
5586,"5"
5587,"5"
5588,"6"
5589,"6"
5590,"6"
5591,"5"
5592,"5"
5593,"6"
5594,"5"
5595,"6"
5596,"6"
5597,"5"
5598,"6"
5599,"5"
5600,"6"
5601,"5"
5602,"5"
5603,"6"
5604,"6"
5605,"6"
5606,"6"
5607,"6"
5608,"6"
5609,"6"
5610,"6"
5611,"5"
5612,"5"
5613,"6"
5614,"5"
5615,"5"
5616,"6"
5617,"6"
5618,"6"
5619,"6"
5620,"7"
5621,"5"
5622,"6"
5623,"6"
5624,"5"
5625,"6"
5626,"6"
5627,"5"
5628,"6"
5629,"7"
5630,"7"
5631,"6"
5632,"6"
5633,"5"
5634,"5"
5635,"7"
5636,"5"
5637,"5"
5638,"6"
5639,"5"
5640,"6"
5641,"6"
5642,"7"
5643,"5"
5644,"6"
5645,"6"
5646,"6"
5647,"6"
5648,"5"
5649,"6"
5650,"7"
5651,"6"
5652,"6"
5653,"5"
5654,"6"
5655,"7"
5656,"5"
5657,"5"
5658,"5"
5659,"6"
5660,"6"
5661,"6"
5662,"6"
5663,"6"
5664,"5"
5665,"5"
5666,"5"
5667,"5"
5668,"5"
5669,"6"
5670,"5"
5671,"6"
5672,"6"
5673,"7"
5674,"6"
5675,"6"
5676,"6"
5677,"7"
5678,"7"
5679,"5"
5680,"6"
5681,"5"
5682,"6"
5683,"5"
5684,"6"
5685,"6"
5686,"5"
5687,"6"
5688,"6"
5689,"5"
5690,"6"
5691,"6"
5692,"6"
5693,"6"
5694,"6"
5695,"6"
5696,"6"
5697,"6"
5698,"6"
5699,"7"
5700,"6"
5701,"6"
5702,"6"
5703,"6"
5704,"5"
5705,"6"
5706,"6"
5707,"6"
5708,"5"
5709,"5"
5710,"6"
5711,"6"
5712,"6"
5713,"6"
5714,"6"
5715,"5"
5716,"7"
5717,"6"
5718,"5"
5719,"6"
5720,"6"
5721,"6"
5722,"6"
5723,"6"
5724,"5"
5725,"6"
5726,"6"
5727,"6"
5728,"5"
5729,"7"
5730,"7"
5731,"6"
5732,"6"
5733,"5"
5734,"5"
5735,"6"
5736,"6"
5737,"5"
5738,"5"
5739,"5"
5740,"5"
5741,"6"
5742,"5"
5743,"6"
5744,"5"
5745,"5"
5746,"6"
5747,"6"
5748,"6"
5749,"6"
5750,"6"
5751,"6"
5752,"5"
5753,"5"
5754,"6"
5755,"5"
5756,"6"
5757,"5"
5758,"6"
5759,"6"
5760,"6"
5761,"6"
5762,"6"
5763,"6"
5764,"6"
5765,"6"
5766,"6"
5767,"5"
5768,"5"
5769,"5"
5770,"5"
5771,"6"
5772,"7"
5773,"6"
5774,"6"
5775,"6"
5776,"6"
5777,"5"
5778,"5"
5779,"6"
5780,"6"
5781,"6"
5782,"7"
5783,"6"
5784,"6"
5785,"6"
5786,"6"
5787,"6"
5788,"5"
5789,"5"
5790,"6"
5791,"5"
5792,"5"
5793,"6"
5794,"6"
5795,"5"
5796,"5"
5797,"6"
5798,"6"
5799,"6"
5800,"5"
5801,"7"
5802,"5"
5803,"7"
5804,"6"
5805,"6"
5806,"6"
5807,"5"
5808,"6"
5809,"5"
5810,"6"
5811,"6"
5812,"6"
5813,"6"
5814,"5"
5815,"6"
5816,"6"
5817,"6"
5818,"6"
5819,"6"
5820,"6"
5821,"6"
5822,"5"
5823,"5"
5824,"6"
5825,"6"
5826,"6"
5827,"6"
5828,"5"
5829,"6"
5830,"6"
5831,"5"
5832,"6"
5833,"6"
5834,"6"
5835,"5"
5836,"6"
5837,"6"
5838,"6"
5839,"6"
5840,"5"
5841,"6"
5842,"6"
5843,"7"
5844,"7"
5845,"6"
5846,"5"
5847,"6"
5848,"6"
5849,"6"
5850,"6"
5851,"6"
5852,"5"
5853,"5"
5854,"6"
5855,"6"
5856,"6"
5857,"8"
5858,"6"
5859,"6"
5860,"6"
5861,"6"
5862,"6"
5863,"5"
5864,"6"
5865,"6"
5866,"6"
5867,"6"
5868,"6"
5869,"5"
5870,"6"
5871,"5"
5872,"5"
5873,"6"
5874,"5"
5875,"6"
5876,"6"
5877,"6"
5878,"7"
5879,"5"
5880,"5"
5881,"6"
5882,"5"
5883,"6"
5884,"6"
5885,"6"
5886,"6"
5887,"6"
5888,"6"
5889,"6"
5890,"7"
5891,"6"
5892,"6"
5893,"6"
5894,"6"
5895,"6"
5896,"5"
5897,"5"
5898,"6"
5899,"6"
5900,"6"
5901,"6"
5902,"6"
5903,"5"
5904,"6"
5905,"5"
5906,"6"
5907,"5"
5908,"7"
5909,"6"
5910,"6"
5911,"6"
5912,"7"
5913,"5"
5914,"5"
5915,"6"
5916,"6"
5917,"6"
5918,"7"
5919,"5"
5920,"6"
5921,"5"
5922,"5"
5923,"7"
5924,"7"
5925,"6"
5926,"6"
5927,"6"
5928,"6"
5929,"5"
5930,"6"
5931,"5"
5932,"5"
5933,"6"
5934,"6"
5935,"5"
5936,"6"
5937,"6"
5938,"5"
5939,"6"
5940,"5"
5941,"6"
5942,"6"
5943,"6"
5944,"5"
5945,"6"
5946,"5"
5947,"6"
5948,"6"
5949,"7"
5950,"6"
5951,"6"
5952,"6"
5953,"5"
5954,"5"
5955,"5"
5956,"6"
5957,"6"
5958,"5"
5959,"7"
5960,"6"
5961,"7"
5962,"5"
5963,"6"
5964,"5"
5965,"5"
5966,"6"
5967,"5"
5968,"5"
5969,"6"
5970,"7"
5971,"6"
5972,"6"
5973,"6"
5974,"7"
5975,"7"
5976,"6"
5977,"6"
5978,"7"
5979,"5"
5980,"5"
5981,"5"
5982,"5"
5983,"5"
5984,"6"
5985,"6"
5986,"7"
5987,"6"
5988,"5"
5989,"6"
5990,"5"
5991,"6"
5992,"5"
5993,"5"
5994,"6"
5995,"6"
5996,"6"
5997,"5"
5998,"6"
5999,"6"
6000,"5"
6001,"7"
6002,"6"
6003,"6"
6004,"5"
6005,"7"
6006,"6"
6007,"6"
6008,"5"
6009,"6"
6010,"6"
6011,"5"
6012,"6"
6013,"6"
6014,"5"
6015,"5"
6016,"6"
6017,"5"
6018,"6"
6019,"6"
6020,"6"
6021,"7"
6022,"5"
6023,"6"
6024,"6"
6025,"5"
6026,"5"
6027,"7"
6028,"5"
6029,"6"
6030,"6"
6031,"5"
6032,"6"
6033,"6"
6034,"5"
6035,"5"
6036,"5"
6037,"5"
6038,"6"
6039,"6"
6040,"6"
6041,"5"
6042,"6"
6043,"5"
6044,"6"
6045,"6"
6046,"7"
6047,"6"
6048,"5"
6049,"7"
6050,"5"
6051,"7"
6052,"6"
6053,"6"
6054,"6"
6055,"6"
6056,"6"
6057,"5"
6058,"5"
6059,"6"
6060,"6"
6061,"5"
6062,"6"
6063,"6"
6064,"5"
6065,"6"
6066,"5"
6067,"6"
6068,"5"
6069,"5"
6070,"5"
6071,"5"
6072,"6"
6073,"6"
6074,"6"
6075,"6"
6076,"5"
6077,"5"
6078,"5"
6079,"5"
6080,"6"
6081,"6"
6082,"6"
6083,"5"
6084,"6"
6085,"6"
6086,"5"
6087,"6"
6088,"6"
6089,"6"
6090,"6"
6091,"5"
6092,"5"
6093,"6"
6094,"6"
6095,"5"
6096,"5"
6097,"6"
6098,"6"
6099,"6"
6100,"5"
6101,"5"
6102,"6"
6103,"6"
6104,"5"
6105,"6"
6106,"6"
6107,"5"
6108,"6"
6109,"6"
6110,"5"
6111,"6"
6112,"6"
6113,"6"
6114,"5"
6115,"5"
6116,"5"
6117,"5"
6118,"6"
6119,"6"
6120,"6"
6121,"5"
6122,"6"
6123,"5"
6124,"6"
6125,"6"
6126,"6"
6127,"6"
6128,"6"
6129,"5"
6130,"6"
6131,"6"
6132,"5"
6133,"5"
6134,"6"
6135,"6"
6136,"6"
6137,"6"
6138,"6"
6139,"6"
6140,"6"
6141,"5"
6142,"6"
6143,"6"
6144,"5"
6145,"6"
6146,"5"
6147,"6"
6148,"6"
6149,"6"
6150,"7"
6151,"5"
6152,"5"
6153,"6"
6154,"6"
6155,"6"
6156,"6"
6157,"6"
6158,"5"
6159,"5"
6160,"7"
6161,"6"
6162,"5"
6163,"7"
6164,"6"
6165,"6"
6166,"7"
6167,"6"
6168,"5"
6169,"6"
6170,"6"
6171,"6"
6172,"6"
6173,"6"
6174,"7"
6175,"5"
6176,"5"
6177,"6"
6178,"6"
6179,"6"
6180,"6"
6181,"5"
6182,"6"
6183,"6"
6184,"6"
6185,"6"
6186,"6"
6187,"5"
6188,"5"
6189,"6"
6190,"6"
6191,"6"
6192,"6"
6193,"7"
6194,"6"
6195,"6"
6196,"5"
6197,"5"
6198,"6"
6199,"6"
6200,"5"
6201,"6"
6202,"5"
6203,"6"
6204,"6"
6205,"6"
6206,"6"
6207,"6"
6208,"6"
6209,"5"
6210,"5"
6211,"6"
6212,"6"
6213,"6"
6214,"6"
6215,"6"
6216,"7"
6217,"6"
6218,"5"
6219,"5"
6220,"5"
6221,"6"
6222,"5"
6223,"6"
6224,"5"
6225,"5"
6226,"5"
6227,"6"
6228,"5"
6229,"6"
6230,"6"
6231,"5"
6232,"5"
6233,"6"
6234,"5"
6235,"6"
6236,"6"
6237,"5"
6238,"5"
6239,"6"
6240,"6"
6241,"6"
6242,"5"
6243,"7"
6244,"5"
6245,"7"
6246,"6"
6247,"6"
6248,"5"
6249,"6"
6250,"6"
6251,"5"
6252,"5"
6253,"6"
6254,"6"
6255,"6"
6256,"5"
6257,"5"
6258,"6"
6259,"6"
6260,"6"
6261,"5"
6262,"6"
6263,"6"
6264,"6"
6265,"6"
6266,"5"
6267,"5"
6268,"6"
6269,"6"
6270,"7"
6271,"5"
6272,"6"
6273,"6"
6274,"6"
6275,"5"
6276,"6"
6277,"6"
6278,"6"
6279,"6"
6280,"6"
6281,"5"
6282,"6"
6283,"5"
6284,"6"
6285,"6"
6286,"6"
6287,"6"
6288,"6"
6289,"6"
6290,"5"
6291,"5"
6292,"6"
6293,"6"
6294,"6"
6295,"5"
6296,"5"
6297,"6"
6298,"5"
6299,"5"
6300,"6"
6301,"6"
6302,"6"
6303,"6"
6304,"5"
6305,"6"
6306,"5"
6307,"6"
6308,"6"
6309,"5"
6310,"6"
6311,"6"
6312,"5"
6313,"6"
6314,"6"
6315,"5"
6316,"7"
6317,"6"
6318,"6"
6319,"5"
6320,"6"
6321,"6"
6322,"6"
6323,"6"
6324,"6"
6325,"6"
6326,"5"
6327,"5"
6328,"5"
6329,"5"
6330,"5"
6331,"6"
6332,"5"
6333,"5"
6334,"5"
6335,"6"
6336,"5"
6337,"5"
6338,"5"
6339,"5"
6340,"6"
6341,"6"
6342,"6"
6343,"5"
6344,"5"
6345,"5"
6346,"6"
6347,"6"
6348,"5"
6349,"6"
6350,"6"
6351,"5"
6352,"6"
6353,"6"
6354,"5"
6355,"5"
6356,"5"
6357,"5"
6358,"6"
6359,"5"
6360,"6"
6361,"5"
6362,"5"
6363,"6"
6364,"5"
6365,"5"
6366,"6"
6367,"5"
6368,"6"
6369,"6"
6370,"6"
6371,"6"
6372,"6"
6373,"6"
6374,"5"
6375,"6"
6376,"6"
6377,"6"
6378,"5"
6379,"6"
6380,"6"
6381,"5"
6382,"7"
6383,"6"
6384,"5"
6385,"6"
6386,"5"
6387,"5"
6388,"6"
6389,"6"
6390,"6"
6391,"5"
6392,"5"
6393,"5"
6394,"5"
6395,"6"
6396,"6"
6397,"6"
6398,"6"
6399,"6"
6400,"5"
6401,"6"
6402,"6"
6403,"5"
6404,"6"
6405,"6"
6406,"6"
6407,"6"
6408,"6"
6409,"6"
6410,"7"
6411,"6"
6412,"6"
6413,"6"
6414,"6"
6415,"6"
6416,"6"
6417,"5"
6418,"6"
6419,"5"
6420,"5"
6421,"6"
6422,"5"
6423,"6"
6424,"7"
6425,"6"
6426,"6"
6427,"6"
6428,"6"
6429,"5"
6430,"6"
6431,"5"
6432,"6"
6433,"5"
6434,"6"
6435,"6"
6436,"6"
6437,"6"
6438,"6"
6439,"6"
6440,"6"
6441,"6"
6442,"6"
6443,"5"
6444,"6"
6445,"7"
6446,"6"
6447,"5"
6448,"5"
6449,"6"
6450,"6"
6451,"5"
6452,"6"
6453,"6"
6454,"6"
6455,"6"
6456,"6"
6457,"5"
6458,"5"
6459,"6"
6460,"6"
6461,"6"
6462,"6"
6463,"5"
6464,"5"
6465,"6"
6466,"6"
6467,"6"
6468,"6"
6469,"6"
6470,"5"
6471,"6"
6472,"5"
6473,"6"
6474,"6"
6475,"6"
6476,"5"
6477,"6"
6478,"5"
6479,"6"
6480,"5"
6481,"6"
6482,"6"
6483,"7"
6484,"5"
6485,"5"
6486,"6"
6487,"6"
6488,"6"
6489,"6"
6490,"6"
6491,"7"
6492,"5"
6493,"6"
6494,"6"
6495,"6"
6496,"6"
6497,"6"
